"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikovane_hodnoty","predikce_lower","predikce_upper"
"276",2024-01-12 12:00:00,"historie",12.2,18.9930368476926,NA,NA,NA
"277",2024-01-12 13:00:00,"historie",12.7,19.9889900212771,NA,NA,NA
"278",2024-01-12 14:00:00,"historie",14.59,17.3221480676028,NA,NA,NA
"279",2024-01-12 15:00:00,"historie",18.08,13.8262568930698,NA,NA,NA
"280",2024-01-12 16:00:00,"historie",16.55,15.720819373382,NA,NA,NA
"281",2024-01-12 17:00:00,"historie",16.93,14.4415267513886,NA,NA,NA
"282",2024-01-12 18:00:00,"historie",15.82,20.9940380104818,NA,NA,NA
"283",2024-01-12 19:00:00,"historie",14.57,21.4644872113556,NA,NA,NA
"284",2024-01-12 20:00:00,"historie",14.08,14.1303757978203,NA,NA,NA
"285",2024-01-12 21:00:00,"historie",11.12,16.0844225588057,NA,NA,NA
"286",2024-01-12 22:00:00,"historie",10.07,12.4669336895167,NA,NA,NA
"287",2024-01-12 23:00:00,"historie",10.35,20.0983549622239,NA,NA,NA
"288",2024-01-13,"historie",9.31,14.9858007601567,NA,NA,NA
"289",2024-01-13 01:00:00,"historie",7.93,14.4136402623571,NA,NA,NA
"290",2024-01-13 02:00:00,"historie",7.35,13.4146981907199,NA,NA,NA
"291",2024-01-13 03:00:00,"historie",8.46,13.869770645495,NA,NA,NA
"292",2024-01-13 04:00:00,"historie",8.96,16.8909264161144,NA,NA,NA
"293",2024-01-13 05:00:00,"historie",9.31,22.3720120357136,NA,NA,NA
"294",2024-01-13 06:00:00,"historie",10.16,14.3879549198661,NA,NA,NA
"295",2024-01-13 07:00:00,"historie",10.6,18.5101389029208,NA,NA,NA
"296",2024-01-13 08:00:00,"historie",10.12,14.5102330936158,NA,NA,NA
"297",2024-01-13 09:00:00,"historie",10.78,14.824214640275,NA,NA,NA
"298",2024-01-13 10:00:00,"historie",10.7,13.7316017983271,NA,NA,NA
"299",2024-01-13 11:00:00,"historie",9.05,11.6070754529491,NA,NA,NA
"300",2024-01-13 12:00:00,"historie",9.41,10.5109090848113,NA,NA,NA
"301",2024-01-13 13:00:00,"historie",9.07,11.0153260846135,NA,NA,NA
"302",2024-01-13 14:00:00,"historie",11.22,9.45909911125984,NA,NA,NA
"303",2024-01-13 15:00:00,"historie",19.15,9.26687952454841,NA,NA,NA
"304",2024-01-13 16:00:00,"historie",13.09,7.84615131223507,NA,NA,NA
"305",2024-01-13 17:00:00,"historie",13.58,10.3268585633216,NA,NA,NA
"306",2024-01-13 18:00:00,"historie",12.64,11.7824423657347,NA,NA,NA
"307",2024-01-13 19:00:00,"historie",12.81,11.2207530907205,NA,NA,NA
"308",2024-01-13 20:00:00,"historie",12.99,11.8287426612913,NA,NA,NA
"309",2024-01-13 21:00:00,"historie",13.87,10.9449379617399,NA,NA,NA
"310",2024-01-13 22:00:00,"historie",13.83,12.733087699854,NA,NA,NA
"311",2024-01-13 23:00:00,"historie",13.51,11.090452437068,NA,NA,NA
"312",2024-01-14,"historie",10.95,10.7170797651254,NA,NA,NA
"313",2024-01-14 01:00:00,"historie",10.71,9.72627860318114,NA,NA,NA
"314",2024-01-14 02:00:00,"historie",10.39,11.1512038535198,NA,NA,NA
"315",2024-01-14 03:00:00,"historie",12.08,10.4478479611792,NA,NA,NA
"316",2024-01-14 04:00:00,"historie",9.66,14.0031572086504,NA,NA,NA
"317",2024-01-14 05:00:00,"historie",11.18,23.1771751313044,NA,NA,NA
"318",2024-01-14 06:00:00,"historie",12.68,11.5440203581436,NA,NA,NA
"319",2024-01-14 07:00:00,"historie",11.84,15.3605486626823,NA,NA,NA
"320",2024-01-14 08:00:00,"historie",10.78,12.2882663943563,NA,NA,NA
"321",2024-01-14 09:00:00,"historie",11.15,13.5265510812725,NA,NA,NA
"322",2024-01-14 10:00:00,"historie",9.77,12.5132762943402,NA,NA,NA
"323",2024-01-14 11:00:00,"historie",9.35,14.0788748891891,NA,NA,NA
"324",2024-01-14 12:00:00,"historie",9.61,13.3436737464461,NA,NA,NA
"325",2024-01-14 13:00:00,"historie",10.18,12.9997691132489,NA,NA,NA
"326",2024-01-14 14:00:00,"historie",12.7,10.3067096618431,NA,NA,NA
"327",2024-01-14 15:00:00,"historie",11.7,11.4713751156523,NA,NA,NA
"328",2024-01-14 16:00:00,"historie",11.02,10.4297459666223,NA,NA,NA
"329",2024-01-14 17:00:00,"historie",12.01,13.2169867329675,NA,NA,NA
"330",2024-01-14 18:00:00,"historie",13.65,11.4234792858676,NA,NA,NA
"331",2024-01-14 19:00:00,"historie",11.69,13.3155207005702,NA,NA,NA
"332",2024-01-14 20:00:00,"historie",10.44,13.7492479971771,NA,NA,NA
"333",2024-01-14 21:00:00,"historie",10.82,11.7261688457952,NA,NA,NA
"334",2024-01-14 22:00:00,"historie",13.22,12.7278722929559,NA,NA,NA
"335",2024-01-14 23:00:00,"historie",12.1,11.3727379735635,NA,NA,NA
